Book Title,Author Name,Runtime
Royally in Trouble,Meghan Quinn,14 hrs and 58 mins
Passive Prospecting,"Levi Lascsak, Travis Plumb",3 hrs and 44 mins
The Orc from the Office,Kate Prior,4 hrs and 24 mins
One Thought Scares Me...,Richard Dreyfuss,6 hrs and 24 mins
Vengeance Is Mine,"Richard E. Turley, Barbara Jones Brown",17 hrs and 29 mins
Deadly Fate,Angela Marsons,8 hrs and 14 mins
The Alien Anomaly,Amanda M. Lee,8 hrs and 52 mins
All My Knotted-Up Life,Beth Moore,8 hrs and 29 mins
Know Thy Enemy,Jeffery H. Haskell,12 hrs and 39 mins
The 16 Undeniable Laws of Communication,John Maxwell,8 hrs and 57 mins
The Greatness Mindset,Lewis Howes,9 hrs and 7 mins
The CompTIA Security+ Computing Technology Industry Association Certification SY0-601 Study Guide - High-Tech Edition,"SMG, Daniel Mateo",11 hrs and 11 mins
The Lion: Son of the Forest,Mike Brooks,12 hrs and 15 mins
Dangerous,Tamara Leigh,8 hrs and 37 mins
Waybound,Will Wight,16 hrs and 13 mins
The Sunny Side,Lily Morton,11 hrs and 37 mins
The Obstacle Is the Way,Ryan Holiday,4 hrs and 38 mins
House of Pounding Hearts,Olivia Wildenstein,13 hrs and 52 mins
Fatal Betrayal,Barbara Freethy,10 hrs
The Evil Twins of Technocracy and Transhumanism,Patrick Wood,7 hrs and 28 mins
Brutal Minds,Stanley K. Ridgley,7 hrs and 35 mins
The Delphi Murders,"Nic Edwards, Brian Whitney",6 hrs and 48 mins
Elon Musk,Walter Isaacson,22 hrs
Hamma's Last Prayer,"A. F. Kay, B. R. Bea",11 hrs and 5 mins
Until I Get You,Claire Contreras,15 hrs and 12 mins
Cruel Beast,"J.L. Beck, S. Rena",8 hrs and 43 mins
Disruptive Thinking,T. D. Jakes,8 hrs and 42 mins
Murder in Bermuda,"James Patterson, Aaron Tracy, Thaddeus McCants",4 hrs
"The Silencer Series Box Set, Books 13-16",Mike Ryan,20 hrs and 45 mins
Tremendous,"Joey ""Coco"" Diaz",6 hrs and 45 mins
The Book of Charlie,David Von Drehle,7 hrs
Crimson River,Devney Perry,8 hrs and 28 mins
The True Love Experiment,Christina Lauren,10 hrs and 52 mins
Drowning,T. J. Newman,7 hrs and 43 mins
Light Bringer,Pierce Brown,13 hrs and 15 mins
The Senator's Wife,Liv Constantine,9 hrs and 7 mins
The Covenant of Water,Abraham Verghese,31 hrs and 16 mins
Meet Me at the Lake,Carley Fortune,9 hrs and 56 mins
Close Her Eyes,Lisa Regan,12 hrs and 2 mins
Letter Late than Never,Lauren Connolly,9 hrs and 20 mins
The Worst Wedding Date,Pippa Grant,12 hrs and 40 mins
Icebreaker,Hannah Grace,13 hrs and 23 mins
Fast Like a Girl,Dr. Mindy Pelz,8 hrs and 13 mins
The Whispers,Ashley Audrain,10 hrs and 17 mins
Rogue Justice,Stacey Abrams,12 hrs and 32 mins
The Lost Hero,Rick Riordan,16 hrs and 33 mins
The Celebrants,Steven Rowley,9 hrs and 43 mins
The Slight Edge,Jeff Olson,9 hrs and 47 mins
Gauntlet,John G. Doyle,6 hrs and 56 mins
The Russo-Ukrainian War,Serhii Plokhy,11 hrs
The Dragon Sovereign,Sarah Hawke,11 hrs and 4 mins
The Anti-Communist Manifesto,Jesse Kelly,7 hrs and 52 mins
Losers: Part 1,Harley LaRoux,16 hrs and 1 min
The Daddy Diaries,Andy Cohen,10 hrs and 32 mins
The Unwanted Marriage,Catharina Maura,11 hrs and 35 mins
Does It Hurt?,H. D. Carlton,12 hrs and 7 mins
Manhood,Josh Hawley,6 hrs and 58 mins
Children of Time,Adrian Tchaikovsky,16 hrs and 31 mins
Chasing Love,Kat T. Masen,13 hrs and 17 mins
A Very Grumpy Father's Day,Kayley Loring,3 hrs and 28 mins
Unbound II,Shawn Speakman - editor,18 hrs and 19 mins
The ChatGPT Millionaire,Neil Dagger,3 hrs and 11 mins
Identity,Nora Roberts,15 hrs and 4 mins
The Handler,"L.T. Ryan, C.R. Gray",8 hrs and 11 mins
8 Rules of Love,Jay Shetty,10 hrs and 21 mins
Mile High,Liz Tomforde,16 hrs and 48 mins
Cherish,Tracy Wolff,17 hrs and 25 mins
Why Women Deserve Less,Myron Gaines,2 hrs and 3 mins
Romantic Comedy (Reese's Book Club),Curtis Sittenfeld,9 hrs and 5 mins
The Turning of Our Bones,Ed James,12 hrs and 50 mins
Final Offer,Lauren Asher,15 hrs and 58 mins
How a Realist Hero Rebuilt the Kingdom: Volume 2,Dojyomaru,8 hrs and 30 mins
Got Your Number,"Mike Greenberg, Paul Hembekides",5 hrs and 49 mins
Lady Tan's Circle of Women,Lisa See,13 hrs and 1 min
Between Commitment and Betrayal,Shain Rose,10 hrs and 7 mins
The Will of the Many,James Islington,28 hrs and 14 mins
So Many Steves,"Steve Martin, Adam Gopnik",2 hrs and 46 mins
"One Nation Under Blackmail, Vol. 1",Whitney Alyse Webb,18 hrs and 16 mins
Agave Spirits,"Gary Paul Nabhan, David Suro Pinera",9 hrs and 41 mins
Save State Hero,William D. Arand,12 hrs and 32 mins
Women with ADHD,"Sarah Davis, Linda Hill",3 hrs and 37 mins
Scattered Minds,Gabor Maté MD,10 hrs and 59 mins
Gorgeous Prince,Charity Ferrell,9 hrs and 12 mins
On Our Best Behavior,Elise Loehnen,11 hrs and 54 mins
Only the Dead,Jack Carr,15 hrs and 17 mins
"Empire, Incorporated",Philip J. Stern,14 hrs and 35 mins
The Untethered Soul,Michael A. Singer,6 hrs and 11 mins
Sapiens,Yuval Noah Harari,15 hrs and 18 mins
Born a Crime,Trevor Noah,8 hrs and 44 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,5 hrs and 51 mins
Shoe Dog,Phil Knight,13 hrs and 21 mins
Rogue Darkness,Dianne Duvall,12 hrs
Sons of Sorrow,Nazri Noor,5 hrs
The Return of the Gods,Jonathan Cahn,8 hrs and 34 mins
Yellowface,R. F. Kuang,8 hrs and 39 mins
Red Rising,Pierce Brown,16 hrs and 12 mins
Dragon Heist,Alexander C. Kane,9 hrs and 7 mins
From the Grave,Kresley Cole,11 hrs and 54 mins
Highest Bidder,Sara Cate,10 hrs and 2 mins
Spare,Prince Harry The Duke of Sussex,15 hrs and 39 mins
Outlive,"Peter Attia MD, Bill Gifford - contributor",17 hrs and 7 mins
Death Loot & Vampires: A LitRPG Adventure,Benjamin Kerei,10 hrs and 1 min
Yours Truly,Abby Jimenez,11 hrs and 23 mins
Soul Boom,Rainn Wilson,9 hrs and 3 mins
Shores of Despair,Mark Tufo,12 hrs and 3 mins
Same Time Next Summer,Annabel Monaghan,6 hrs and 57 mins
Unfortunately Yours,Tessa Bailey,10 hrs and 52 mins
Quantum Supremacy,Michio Kaku,10 hrs and 41 mins
The Wind Knows My Name,"Isabel Allende, Frances Riddle - translator",7 hrs and 59 mins
Tell Me Everything,Minka Kelly,8 hrs and 40 mins
The Paris Daughter,Kristin Harmel,11 hrs and 51 mins
The Echo of Old Books,Barbara Davis,13 hrs and 8 mins
A Little Life,Hanya Yanagihara,32 hrs and 51 mins
The Right Call,Sally Jenkins,7 hrs and 15 mins
Birnam Wood,Eleanor Catton,12 hrs and 47 mins
The Secret Life of Sunflowers,"Marta Molnar, Dana Marton",9 hrs and 52 mins
King: A Life,Jonathan Eig,20 hrs and 45 mins
"Good Night, Irene",Luis Alberto Urrea,13 hrs and 26 mins
Final Battle,David Horowitz,5 hrs and 37 mins
Fractal Noise,Christopher Paolini,9 hrs and 57 mins
Hidden Potential,Adam Grant,12 hrs
The Well-Lived Life,"Gladys McGarey MD, Dr. Mark Hyman - foreword",8 hrs and 55 mins
The Song of Significance,Seth Godin,4 hrs and 21 mins
You Are the One You've Been Waiting For,Richard Schwartz PhD,6 hrs and 10 mins
The 23rd Midnight,"James Patterson, Maxine Paetro",8 hrs and 4 mins
The Sordid Union between Intelligence and Organized Crime That Gave Rise to Jeffrey Epstein,Whitney Alyse Webb,15 hrs and 50 mins
Even If It Hurts,Sam Mariano,12 hrs and 33 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,5 hrs and 17 mins
"Poverty, by America",Matthew Desmond,5 hrs and 40 mins
Simply Lies,David Baldacci,11 hrs and 45 mins
Fall of Damnos,Nick Kyme,12 hrs and 37 mins
The Perfect Veneer,Blake Pierce,6 hrs and 49 mins
Them,Whitley Strieber,10 hrs and 17 mins
Carnival Quest,Brandon Mull,11 hrs and 3 mins
Ryan Renewed,Sadie Kincaid,9 hrs and 19 mins
Stray Spells,Danielle Garrett,5 hrs and 50 mins
Defiant,Michael R. Miller,26 hrs and 30 mins
Burn It Down,Maureen Ryan,13 hrs and 54 mins
The Alchemist,Paulo Coelho,4 hrs
The Five Dysfunctions of a Team,Patrick Lencioni,3 hrs and 42 mins
Good to Great,Jim Collins,10 hrs and 1 min
The Secret,Rhonda Byrne,4 hrs and 24 mins
Traction,Gino Wickman,6 hrs and 56 mins
Six of Crows,Leigh Bardugo,15 hrs and 4 mins
"Guns, Germs and Steel",Jared Diamond,16 hrs and 20 mins
Zero to One,"Peter Thiel, Blake Masters",4 hrs and 50 mins
The City of Cutthroats,"Torsten Weitze, Tim Casey - translator",21 hrs and 58 mins
The Making of Another Major Motion Picture Masterpiece,Tom Hanks,15 hrs and 57 mins
Dead Law,Robin James,8 hrs and 11 mins
All the Sinners Bleed,S. A. Cosby,13 hrs and 5 mins
You Can't Joke About That,Kat Timpf,7 hrs and 34 mins
The Diva Delivers on a Promise,Krista Davis,8 hrs and 27 mins
Depp v Heard,Nick Wallis,11 hrs and 42 mins
A Deal with the Elf King (Dramatized Adaptation),Elise Kova,9 hrs and 35 mins
Wyn,Lily Mayne,7 hrs and 35 mins
Reading Price Charts Bar by Bar,Al Brooks,14 hrs and 38 mins
Start with Why,Simon Sinek,7 hrs and 18 mins
To Kill a Mockingbird,Harper Lee,12 hrs and 17 mins
Paris,Paris Hilton,8 hrs and 22 mins
Killing Moon,"Jo Nesbo, Seán Kinsella - translator",15 hrs and 57 mins
The Awe of God,John Bevere,7 hrs and 28 mins
Beware the Woman,Megan Abbott,9 hrs and 12 mins
We're All in This Together . . .,Tom Papa,7 hrs and 10 mins
The Silent Bride,Shalini Boland,8 hrs and 8 mins
Translation State,Ann Leckie,12 hrs and 3 mins
Profit First,Mike Michalowicz,8 hrs and 35 mins
A Gentleman in Moscow,Amor Towles,17 hrs and 52 mins
Essentialism,Greg McKeown,6 hrs and 14 mins
Band of Brothers,Stephen E. Ambrose,12 hrs and 37 mins
Extreme Ownership,"Jocko Willink, Leif Babin",9 hrs and 33 mins
Never Split the Difference,Chris Voss,8 hrs and 7 mins
The Nightingale,Kristin Hannah,17 hrs and 19 mins
Eragon,Christopher Paolini,16 hrs and 22 mins
"Boundaries, Updated and Expanded Edition","John Townsend, Henry Cloud",11 hrs and 18 mins
Ink Blood Sister Scribe,Emma Törzs,13 hrs and 53 mins
Walking with Sam,Andrew McCarthy,6 hrs and 43 mins
My Murder,Katie Williams,7 hrs and 52 mins
The Song of Achilles,Madeline Miller,11 hrs and 15 mins
The Running Grave,Robert Galbraith,27 hrs
Cassandra in Reverse,Holly Smale,13 hrs and 15 mins
Dirty Crazy Bad,Siobhan Davis,15 hrs and 25 mins
Battlefield Reclaimer,David North,20 hrs and 4 mins
The Intelligent Investor Rev Ed.,Benjamin Graham,17 hrs and 48 mins
Keep It in the Family,John Marrs,10 hrs and 3 mins
Golden Hills,Jennifer Weiner,1 hr and 33 mins
The Exorcism Files,Adam Blai,3 hrs and 15 mins
Reforged,Seth Haddon,12 hrs and 15 mins
Glamoured,Jaymin Eve,9 hrs and 48 mins
Mage,J.L. Mullins,12 hrs and 30 mins
The Fae Princes,Nikki St. Crowe,5 hrs and 21 mins
Road to Mastery,Valerios,30 hrs and 6 mins
"Cinders & Ashes, Book 6",X. Aratare,14 hrs and 49 mins
The Annihilator,RuNyx,6 hrs and 53 mins
The Wisdom of the Bullfrog,Admiral William H. McRaven,3 hrs and 44 mins
The Accidental Contract,Kos Play,16 hrs and 18 mins
The Path of Ascension 3,C. Mantis,22 hrs and 58 mins
The 6 Types of Working Genius,Patrick M. Lencioni,4 hrs and 11 mins
Bad Summer People,Emma Rosenblum,9 hrs and 23 mins
Cross Down,"James Patterson, Brendan DuBois",9 hrs and 46 mins
Wool,Hugh Howey,15 hrs
A Hypnotist’s Journey from the Trail to the Star People,Sarah Breskman Cosme,8 hrs and 32 mins
Hunting the Hart,Jon R. Osborne,12 hrs and 18 mins
The Risk,S.T. Abby,3 hrs and 28 mins
Poor,Katriona O'Sullivan,6 hrs and 48 mins
Runaway Love,Melanie Harlow,8 hrs and 56 mins
Murder at the Beauty Pageant,Helena Dixon,7 hrs and 16 mins
That Time I Got Drunk and Saved a Demon,Kimberly Lemming,7 hrs and 25 mins
Murder on the Night Train to Paris,L.B. Hathaway,10 hrs and 41 mins
The Whole-Brain Child,"Daniel J. Siegel, Tina Payne Bryson",6 hrs and 14 mins
Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,3 hrs and 32 mins
Death Comes to Marlow,Robert Thorogood,9 hrs and 28 mins
The King in Yellow,Robert W. Chambers,7 hrs and 36 mins
Scaling Up,Verne Harnish,8 hrs and 49 mins
Jesus Calling (Updated and Expanded),Sarah Young,13 hrs and 50 mins
How We Love,"Milan Yerkovich, Kay Yerkovich",10 hrs and 56 mins
1-2-3 Magic,Thomas W. Phelan PhD,7 hrs and 1 min
The 15 Commitments of Conscious Leadership,"Jim Dethmer, Diana Chapman, Kaley Klemp",7 hrs and 53 mins
The Art of Happiness,"His Holiness the Dalai Lama, Howard C. Cutler MD",3 hrs and 18 mins
Legacy,James Kerr,5 hrs and 33 mins
The Sophia Code,Kaia Ra,15 hrs and 53 mins
My Brilliant Friend,Elena Ferrante,12 hrs and 38 mins
Destiny of the Republic,Candice Millard,9 hrs and 47 mins
Out of My Mind,Sharon M. Draper,6 hrs and 49 mins
Echo,Pam Muñoz Ryan,10 hrs and 31 mins
Peak,"Robert Pool, Anders Ericsson",10 hrs
The Curious Incident of the Dog in the Night-Time,Mark Haddon,6 hrs and 2 mins
Built to Sell,John Warrillow,4 hrs and 24 mins
I Am Malala,"Malala Yousafzai, Christina Lamb - contributor",9 hrs and 55 mins
The Red Tent,Anita Diamant,11 hrs and 50 mins
Rendezvous with Rama,Arthur C. Clarke,9 hrs and 4 mins
The Shadow of the Wind,Carlos Ruiz Zafón,18 hrs and 5 mins
The Dance of Anger,Harriet Lerner,6 hrs and 50 mins
The Unwelcomed Child,V. C. Andrews,9 hrs and 17 mins
Just Kids,Patti Smith,9 hrs and 50 mins
Practical Magic,Alice Hoffman,9 hrs and 12 mins
Will I Ever Be Good Enough?,Karyl McBride,7 hrs and 25 mins
Legacy of Ashes,Tim Weiner,21 hrs and 37 mins
Esperanza Rising,Pam Munoz Ryan,4 hrs and 42 mins
The Tale of Despereaux,Kate DiCamillo,3 hrs and 30 mins
Crossing the Chasm,Geoffrey A. Moore,9 hrs and 45 mins
Decisive,"Chip Heath, Dan Heath",9 hrs and 9 mins
The Forever War,Joe Haldeman,9 hrs and 18 mins
Wish,Barbara O'Connor,4 hrs and 41 mins
From the Mixed-up Files of Mrs. Basil E. Frankweiler,E. L. Konigsburg,3 hrs and 45 mins
Disorganized Attachment No More!,Taha Zaid,3 hrs and 11 mins
I'm Thinking of Ending Things,Iain Reid,5 hrs and 22 mins
An Unquiet Mind,Kay Redfield Jamison,2 hrs and 46 mins
The End of the Affair,Graham Greene,6 hrs and 28 mins
Sula,Toni Morrison,5 hrs and 46 mins
How to Raise an Adult,Julie Lythcott-Haims,12 hrs and 31 mins
Teaching from Rest,Sarah Mackenzie,2 hrs and 39 mins
Uglies,Scott Westerfeld,10 hrs and 12 mins
The Butterfly Garden,Dot Hutchison,9 hrs and 13 mins
Hidden Figures,Margot Lee Shetterly,10 hrs and 47 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,12 hrs and 10 mins
Killers of the Flower Moon,David Grann,9 hrs and 4 mins
Think and Grow Rich,Napoleon Hill,9 hrs and 35 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,13 hrs and 1 min
Enthralled,Tiffany Roberts,11 hrs and 38 mins
What Lurks Between the Fates,Harper L. Woods,14 hrs and 8 mins
Entrepreneurial Leap (Updated and Expanded Edition),Gino Wickman,5 hrs and 39 mins
Life of Pi,Yann Martel,12 hrs and 53 mins
Thanks for the Feedback,"Sheila Heen, Douglas Stone",9 hrs and 48 mins
Setting the Table,Danny Meyer,5 hrs and 33 mins
The City of Ember,Jeanne DuPrau,6 hrs and 50 mins
Rework,"Jason Fried, David Heinemeier Hansson",2 hrs and 50 mins
The House on Mango Street,Sandra Cisneros,2 hrs and 18 mins
Let My People Go Surfing,"Yvon Chouinard, Naomi Klein",7 hrs and 59 mins
One Up On Wall Street,Peter Lynch,2 hrs and 11 mins
The Temporary Wife: Luca and Valentina's Story,Catharina Maura,11 hrs and 33 mins
Glow,Raven Kennedy,22 hrs and 40 mins
Codependent No More,Melody Beattie,8 hrs and 42 mins
Heal Thyself for Health and Longevity,Queen Afua,8 hrs and 17 mins
Ramesses the Great,Toby Wilkinson,6 hrs and 26 mins
Azarinth Healer: Book Two,Rhaegar,19 hrs and 22 mins
The Four Agreements,don Miguel Ruiz,2 hrs and 31 mins
How to Talk to Anyone,Leil Lowndes,8 hrs and 59 mins
Ruge o espera a ser devorado,Daniel Habif,6 hrs and 20 mins
The Name of the Wind,Patrick Rothfuss,27 hrs and 55 mins
Ready Player One,Ernest Cline,15 hrs and 40 mins
The Total Money Makeover,Dave Ramsey,3 hrs and 41 mins
The Duke and I,Julia Quinn,12 hrs and 9 mins
One True Loves,Taylor Jenkins Reid,8 hrs and 5 mins
Empire of the Summer Moon,S. C. Gwynne,15 hrs and 9 mins
Why We Sleep,Matthew Walker,13 hrs and 52 mins
Bring Me Back,Kristen Granata,7 hrs and 25 mins
Jungle World,B.V. Larson,13 hrs and 25 mins
Challenge of the Court,Heather G. Harris,6 hrs and 34 mins
As a Man Thinketh,James Allen,55 mins
The Devil in the White City,Erik Larson,14 hrs and 58 mins
Fahrenheit 451,Ray Bradbury,5 hrs and 1 min
The Rise and Fall of the Third Reich,William L. Shirer,57 hrs and 11 mins
ChatGPT-4 for Beginners,Jerry Sinclaire,3 hrs and 20 mins
The Princess Bride,William Goldman,2 hrs and 32 mins
Rise of the Weakest Summoner: Volume V,J. R. Saileri,14 hrs and 26 mins
Pineapple Street,Jenny Jackson,8 hrs and 32 mins
Barred Desires,Ashley James,6 hrs and 30 mins
The God Delusion,Richard Dawkins,13 hrs and 52 mins
The Dragonbone Chair,Tad Williams,33 hrs and 12 mins
A Sacrifice of Light,Azalea Ellis,24 hrs and 59 mins
A Fire in the Flesh,Jennifer L. Armentrout,24 hrs
Principles,Ray Dalio,16 hrs and 5 mins
You Shouldn’t Have Come Here,Jeneva Rose,8 hrs and 1 min
Did You Hear About Kitty Karr?,Crystal Smith Paul,13 hrs and 10 mins
Neuromancer,William Gibson,10 hrs and 31 mins
Punk 57,Penelope Douglas,10 hrs and 7 mins
The Maze Runner,James Dashner,10 hrs and 50 mins
The Ramona Quimby Audio Collection,"Beverly Cleary, Tracy Dockray",18 hrs and 56 mins
The Goldfinch,Donna Tartt,32 hrs and 24 mins
A Curious Beginning,Deanna Raybourn,10 hrs and 51 mins
Is There a Narcissist in Your Life?,Amanda Clymont,3 hrs and 3 mins
Hello Beautiful,Ann Napolitano,15 hrs and 6 mins
Spell Thief,J Pal,14 hrs and 42 mins
Bewitched,Laura Thalassa,12 hrs and 40 mins
Cherry Picked,May Archer,9 hrs and 32 mins
King of Wrath,Ana Huang,12 hrs and 5 mins
Unfu*k Yourself,Gary John Bishop,3 hrs and 24 mins
All the Light We Cannot See,Anthony Doerr,16 hrs and 2 mins
Dark Healing Blind Trust,I. T. Lucas,8 hrs and 27 mins
Night Vision,Mariana Alessandri,6 hrs and 49 mins
That Kind of Guy,Stephanie Archer,9 hrs and 23 mins
Korra Is Live,Chukwufumnaya Anita Obidi,2 hrs and 21 mins
Heartless,Elsie Silver,9 hrs and 51 mins
The Pocket Guide to High Ticket Selling,Dan Henry,1 hr and 22 mins
The Libyan Diversion,Joel C. Rosenberg,11 hrs and 13 mins
Lords of Uncreation,Adrian Tchaikovsky,20 hrs and 50 mins
I Summoned My What?!,Montgomery Quinn,7 hrs and 16 mins
The Scottish Ladies' Detective Agency,Lydia Travers,9 hrs and 37 mins
Haunting Adeline,H. D. Carlton,15 hrs and 47 mins
Stalking the Wild Pendulum,Itzhak Bentov,5 hrs and 15 mins
El viento conoce mi nombre [The Wind Knows My Name],Isabel Allende,8 hrs and 33 mins
Last Resort,Scott Pratt,8 hrs and 20 mins
The Wrong Bride,Catharina Maura,11 hrs and 22 mins
The Night of the Party,Anna-Lou Weatherley,10 hrs and 12 mins
By a Silver Thread,Rachel Aaron,11 hrs and 47 mins
The Daily Dad,Ryan Holiday,9 hrs and 44 mins
Bonded by Thorns,Elizabeth Helen,10 hrs and 59 mins
The Inmate,Freida McFadden,8 hrs and 5 mins
TRANCE Formation of America,"Cathy O'Brien, Mark Phillips",9 hrs and 44 mins
Cage of Souls,Adrian Tchaikovsky,23 hrs and 10 mins
The First Law of Cultivation,KrazeKode,21 hrs and 52 mins
The Obesity Code,Dr. Jason Fung,10 hrs and 9 mins
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,9 hrs and 9 mins
Mere Christianity,C. S. Lewis,7 hrs and 6 mins
Strung,Per Jacobsen,5 hrs and 4 mins
Run on Red,Noelle West Ihli,7 hrs and 28 mins
Make Space for Happiness,Tracy McCubbin,5 hrs and 1 min
House of Lies and Sorrow,Emily Blackwood,6 hrs and 29 mins
An Assassin in Utopia,Susan Wels,7 hrs and 12 mins
Blood Prophecy,Mary Rundle,11 hrs and 38 mins
Pen Pal,J.T. Geissinger,7 hrs and 54 mins
Maybe in Another Life,Taylor Jenkins Reid,9 hrs and 25 mins
Dirty Laundry,"Richard Pink, Roxanne Emery",4 hrs and 2 mins
